Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4YPHTO8MF1cZ37xdPnRDm4,"Listen To","When It Rains It Pours","Farida Amadou",2024-09-06,708000,3,false,1210603825,2024-12-02T18:47:46Z,"noise music,experimental,free jazz","Week-End Records",0.471,0.458,9,-11.977,0,0.13,0.353,0.88,0.0785,0.235,170.869,4
spotify:track:4K2hu1I4tuRpgDLiNTTEi2,"BYE BYE","BYE BYE","Kim Gordon",2024-01-16,254000,27,false,1210603825,2024-12-02T18:47:46Z,"noise rock","Matador",0.586,0.422,7,-8.71,0,0.028,0.000519,0.559,0.127,0.0365,145.996,4
spotify:track:5S2wQ0sVsZuBSqHvmrD8xe,"European Cardboard","Basic Editions","Dean Spunt",2024-09-27,198500,2,false,1210603825,2024-12-02T18:47:46Z,"experimental","Drag City",0.755,0.434,11,-15.888,0,0.0764,0.288,0.849,0.101,0.531,92.17,4
spotify:track:6kvYlDN7rVedMOE7VxeQGg,"Blinkmoth (July Mix)","Hypersoft Lovejinx Junkdream","james K",2024-11-19,423911,14,false,1210603825,2024-12-05T21:38:34Z,"","AD 93",0.587,0.687,4,-10.057,0,0.0584,0.106,0.418,0.344,0.327,89.998,4
spotify:track:3VjCT0KKoyuvwUuWR47IG1,"Streetcorn","Contrahouse","Contrahouse;Guerrinha;Pessoas Que Eu Conheço;Bruce Hornsby;Konradsen",2024-02-16,502469,5,false,1210603825,2024-12-02T18:47:46Z,"experimental,ambient jazz,experimental jazz,indie jazz,bluegrass","ULYSSA",0.705,0.626,5,-11.815,0,0.0327,0.414,0.328,0.0603,0.832,134.975,4
spotify:track:5fNZqYEEFKISOK67eoVMJs,"VI","Forest Hills","Tegu",2024-01-05,230086,1,false,1210603825,2024-12-02T18:47:46Z,"ambient","Not Not Fun",0.122,0.174,1,-14.953,1,0.0457,0.995,0.0149,0.348,0.0388,178.71,1
spotify:track:3osNWyAjlf1AWPtatunyS4,"idle citi","Essential Mixtape","Merely;Malibu",2024-11-15,413880,30,false,1210603825,2024-12-06T18:33:53Z,"ambient,drone","YEAR0001",0.0819,0.291,5,-16.604,1,0.0335,0.797,0.576,0.0829,0.0368,83.781,5
spotify:track:5NkaC8eKyTstQITrjowFDq,"I Found You in the Cloud","I Found You in the Cloud","Antonina Nowacka",2024-05-10,399783,0,false,1210603825,2024-12-02T18:47:46Z,"ambient,ambient jazz,drone","Mondoj",0.194,0.246,7,-14.61,1,0.0412,0.956,0.894,0.112,0.0345,138.011,4
spotify:track:2HwPbhzKbOT0Tfa5QAXSER,"Continuum 1","Continuum 1","Nala Sinephro",2024-08-07,433750,29,false,1210603825,2024-12-02T18:47:46Z,"ambient jazz,ambient,experimental jazz,nu jazz","Warp Records",0.378,0.244,8,-20.344,0,0.039,0.794,0.875,0.11,0.128,101.714,4
spotify:track:77so4hF0wca8PnpxeeRqyV,"Dreamliner","Dreamliner","Gi Gi",2024-09-27,382135,8,false,1210603825,2024-12-02T18:47:46Z,"ambient,drone","Quiet Time Tapes",0.429,0.793,9,-9.184,0,0.031,0.197,0.593,0.0853,0.0384,103,4
spotify:track:3Fau145nAk3Xl16tMHQ15w,"Lia","Shyness","chantssss",2024-09-06,222625,0,false,1210603825,2024-12-02T18:47:46Z,"","Theory Therapy",0.199,0.248,4,-19.202,0,0.03,0.918,0.971,0.121,0.0454,77.858,4
spotify:track:1Axh5ObQpRGHFm6yItBcrF,"You Don't Know Me","Blueprints","Ammonite",2024-05-08,166726,1,false,1210603825,2024-12-02T18:47:46Z,"","Ransom Note Records",0.104,0.332,9,-12.832,1,0.0354,0.982,0.348,0.438,0.053,63.015,3
spotify:track:7AhVR5mVp0EEhOXcvyW2Gp,"Cry","Exploitation Occident","Bergsonist",2024-03-15,216296,1,false,1210603825,2024-12-02T18:47:46Z,"","Bergsonist",0.694,0.421,2,-13.746,1,0.0327,0.474,0.897,0.113,0.0791,128.018,4
spotify:track:6jdkvEvb9FvXVliedJVcCW,"newdiv","You're Only Young Once But You Can Be Stupid Forever","Bogdan Raczynski",2024-10-18,184986,0,false,1210603825,2024-12-02T18:47:46Z,"idm,breakcore,glitch","Disciples",0.664,0.929,4,-6.912,0,0.0409,0.0254,0.867,0.0766,0.774,119.985,4
spotify:track:2nfzw9Rrs4PJtftGYQ5Cgj,"take me back to the astral world","immaculate","assassin",2024-04-12,485047,0,false,1210603825,2024-12-02T18:47:46Z,"","Wain Records",0.447,0.667,7,-15.077,1,0.521,0.351,0.911,0.165,0.131,189.834,4
spotify:track:2PNW2cB7Br6doT9eSJ9yr2,"Manovra Di Gravità","Laika and Ulka Were Here","Julia Govor",2024-03-01,301714,0,false,1210603825,2024-12-02T18:47:46Z,"","Semantica Records",0.521,0.786,6,-7.299,0,0.139,0.0974,0.938,0.0932,0.203,139.989,4
spotify:track:1y8NHeywBKHn5mDE0t8jc4,"Signo","Signo (Part of Dekmantel Ten: A Decade of Dekmantel Festival - Radar)","Polygonia",2024-07-11,363533,9,false,1210603825,2024-12-04T21:37:02Z,"dub techno,idm,minimal techno","Dekmantel",0.833,0.647,6,-9.797,1,0.0899,0.00172,0.851,0.101,0.229,138.991,4
spotify:track:7vHey6z5IqGTUNYZDFnoRY,"Staying with the Trouble","Volta","Loula Yorke",2024-01-19,395000,2,false,1210603825,2024-12-02T18:47:46Z,"musique concrète,ambient,drone","Truxalis",0.326,0.538,7,-11.539,1,0.0344,0.827,0.929,0.467,0.263,181.557,4
